datetime,model_short_name,model_full_name,multimodal,total,rows_with_values,rows_empty,charity_number,charity_name,report_date,income_annually_in_british_pounds,spending_annually_in_british_pounds,address__postcode,address__post_town,address__street_line
2026-02-27 14:56:47,mistral-small-free,mistralai/mistral-small-3.1-24b-instruct:free,False,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 14:57:01,gemini-2.5-flash,google/gemini-2.5-flash,True,11,11,0,11,11,11,9,9,11,11,11
2026-02-27 14:57:18,gemini-2.0-flash,google/gemini-2.0-flash-001,True,11,11,0,11,10,11,7,7,11,10,9
2026-02-27 14:58:11,deepseek-v3,deepseek/deepseek-chat,False,11,10,1,10,10,10,4,4,10,10,10
2026-02-27 15:00:00,deepseek-v3.2,deepseek/deepseek-v3.2,False,11,6,5,6,6,6,4,4,6,6,6
2026-02-27 15:01:19,gpt-4o-mini,openai/gpt-4o-mini,True,11,11,0,11,11,11,8,8,10,10,10
2026-02-27 15:01:35,qwen-2.5-7b,qwen/qwen-2.5-7b-instruct,False,11,6,5,6,6,5,5,5,6,6,6
2026-02-27 15:02:12,llama-3.1-8b,meta-llama/llama-3.1-8b-instruct,False,11,6,5,6,6,6,6,6,6,6,6
2026-02-27 15:04:44,mistral-small,mistralai/mistral-small-3.1-24b-instruct,False,11,11,0,11,11,11,9,9,10,11,10
2026-02-27 15:13:10,deepseek-r1,deepseek/deepseek-r1,False,11,10,1,10,10,10,9,9,10,10,10
2026-02-27 15:13:59,qwen-2.5-72b,qwen/qwen-2.5-72b-instruct,False,11,10,1,10,10,10,9,9,10,10,10
2026-02-27 15:14:24,llama-3.3-70b,meta-llama/llama-3.3-70b-instruct,False,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 15:14:29,qwen-coder-32b,qwen/qwen-2.5-coder-32b-instruct,False,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 15:15:46,claude-3.5-haiku,anthropic/claude-3.5-haiku,True,11,1,10,1,1,1,1,1,1,1,1
2026-02-27 15:23:06,nemotron-super-49b,nvidia/llama-3.3-nemotron-super-49b-v1.5,False,11,10,1,10,10,10,9,9,9,10,10
2026-02-27 15:23:51,mistral-large,mistralai/mistral-large,False,11,11,0,11,11,11,10,10,9,11,10
2026-02-27 15:23:51,command-r-plus,cohere/command-r-plus,False,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:20:38,qwen3-235b,qwen/qwen3-235b-a22b,False,11,2,9,2,2,2,2,2,2,2,2
2026-02-27 16:33:13,gpt-oss-120b-free,openai/gpt-oss-120b,False,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:33:13,qwen3-vl-30b-free,qwen/qwen3-vl-30b-a3b-instruct:free,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:33:14,llama-4-scout-free,meta-llama/llama-4-scout:free,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:33:35,gemma-3-27b-free,google/gemma-3-27b-it:free,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:33:52,gemma-3n-free,google/gemma-3n-e2b-it:free,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:34:18,gemini-3-flash,google/gemini-3-flash-preview,True,11,11,0,11,11,11,9,9,11,11,11
2026-02-27 16:34:50,qwen-2.5-vl-7b,qwen/qwen-2.5-vl-7b-instruct,True,11,7,4,7,7,7,6,6,7,7,7
2026-02-27 16:36:03,qwen3-vl-8b,qwen/qwen3-vl-8b-instruct,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:36:03,gemma-3n,google/gemma-3n-e2b-it,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 16:36:04,pixtral-12b,mistralai/pixtral-12b-2409,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 17:25:13,gemma-3-12b,google/gemma-3-12b-it,True,11,11,0,11,11,11,9,9,11,11,11
2026-02-27 17:26:03,qwen-2.5-vl-72b,qwen/qwen-2.5-vl-72b-instruct,True,11,5,6,5,5,5,3,3,4,4,4
2026-02-27 17:26:54,qwen3-vl-30b,qwen/qwen3-vl-30b-a3b-instruct,True,11,6,5,6,6,6,6,6,6,6,6
2026-02-27 17:33:17,qwen3-vl-30b-thinking,qwen/qwen3-vl-30b-a3b-thinking,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 17:33:17,llama-3.2-90b-vision,meta-llama/llama-3.2-90b-vision-instruct,True,11,0,11,0,0,0,0,0,0,0,0
2026-02-27 17:35:21,gemma-3-27b,google/gemma-3-27b-it,True,11,11,0,11,11,11,8,8,10,11,11
2026-02-27 17:40:22,gemini-3-pro,google/gemini-3-pro-preview,True,11,11,0,11,11,11,9,9,10,11,11
2026-02-27 17:41:15,pixtral-large,mistralai/pixtral-large-2411,True,11,11,0,11,11,11,9,9,11,11,11
